bus real appr
 1.00000000e+00 9.78142551e-01 9.80443743e-01
 2.00000000e+00 9.62424820e-01 9.66437143e-01
 3.00000000e+00 9.52003896e-01 9.57154818e-01
 4.00000000e+00 9.36892921e-01 9.43726757e-01
 5.00000000e+00 9.24256758e-01 9.32696742e-01
 6.00000000e+00 9.18057794e-01 9.27291829e-01
 7.00000000e+00 9.14258348e-01 9.23982525e-01
 8.00000000e+00 9.14092947e-01 9.23831355e-01
 9.00000000e+00 9.14010243e-01 9.23755771e-01
 1.00000000e+01 9.03830625e-01 9.14909080e-01
 1.10000000e+01 8.81942799e-01 8.95879327e-01
 1.20000000e+01 8.80456029e-01 8.94575603e-01
 1.30000000e+01 8.79524569e-01 8.93759197e-01
 1.40000000e+01 8.77880440e-01 8.92318787e-01
 1.50000000e+01 8.76376662e-01 8.91002232e-01
 1.60000000e+01 8.75999133e-01 8.90671506e-01
 1.70000000e+01 8.73919506e-01 8.88920631e-01
 1.80000000e+01 8.70045537e-01 8.85569443e-01
 1.90000000e+01 8.67607284e-01 8.83462064e-01
 2.00000000e+01 8.66080984e-01 8.82142862e-01
 2.10000000e+01 8.65762886e-01 8.81868029e-01
 2.20000000e+01 8.65619987e-01 8.81744354e-01
 2.30000000e+01 8.64553599e-01 8.80823662e-01
 2.40000000e+01 8.63646361e-01 8.80040387e-01
 2.50000000e+01 8.63407578e-01 8.79834262e-01
 2.60000000e+01 8.63327978e-01 8.79765554e-01
 2.70000000e+01 8.64706637e-01 8.80961078e-01
 2.80000000e+01 8.62984987e-01 8.79476979e-01
 2.90000000e+01 8.62283245e-01 8.78872347e-01
 3.00000000e+01 8.61852545e-01 8.78501323e-01
 3.10000000e+01 8.61565369e-01 8.78253973e-01
 3.20000000e+01 8.61373897e-01 8.78089074e-01
 3.30000000e+01 8.72182286e-01 8.87409026e-01
 3.40000000e+01 8.71661639e-01 8.86955545e-01
 3.50000000e+01 8.70967232e-01 8.86350903e-01
 3.60000000e+01 8.70777828e-01 8.86186001e-01
 3.70000000e+01 8.70918383e-01 8.86309678e-01
 3.80000000e+01 8.69962072e-01 8.85478296e-01
 3.90000000e+01 8.69242646e-01 8.84853043e-01
 4.00000000e+01 9.22612378e-01 9.30685018e-01
 4.10000000e+01 9.21357092e-01 9.29530635e-01
 4.20000000e+01 9.20460194e-01 9.28706076e-01
 4.30000000e+01 9.19637855e-01 9.27950231e-01
 4.40000000e+01 9.19278912e-01 9.27620408e-01
 4.50000000e+01 9.18919908e-01 9.27290585e-01
 4.60000000e+01 9.18710466e-01 9.27098188e-01
 4.70000000e+01 9.18137707e-01 9.26612656e-01
 4.80000000e+01 9.15603827e-01 9.24310158e-01
 4.90000000e+01 9.13145117e-01 9.22076476e-01
 5.00000000e+01 9.11358848e-01 9.20454511e-01
 5.10000000e+01 9.09276920e-01 9.18564568e-01
 5.20000000e+01 9.08761229e-01 9.18096493e-01
 5.30000000e+01 9.08484041e-01 9.17844873e-01
 5.40000000e+01 9.08257049e-01 9.17638743e-01
 5.50000000e+01 9.08181381e-01 9.17570033e-01
