bus real appr
 1.00000000e+00 -6.46363666e-01 -6.16728718e-01
 2.00000000e+00 -1.11839266e+00 -1.06639008e+00
 3.00000000e+00 -1.43248126e+00 -1.36556637e+00
 4.00000000e+00 -1.89353539e+00 -1.80401157e+00
 5.00000000e+00 -2.27457977e+00 -2.16455702e+00
 6.00000000e+00 -2.46289955e+00 -2.34251956e+00
 7.00000000e+00 -2.57914973e+00 -2.45222599e+00
 8.00000000e+00 -2.58245945e+00 -2.45569835e+00
 9.00000000e+00 -2.58411450e+00 -2.45743472e+00
 1.00000000e+01 -2.90059021e+00 -2.75514351e+00
 1.10000000e+01 -3.58083264e+00 -3.39525573e+00
 1.20000000e+01 -3.87691911e+00 -3.65359985e+00
 1.30000000e+01 -4.08388762e+00 -3.83380750e+00
 1.40000000e+01 -4.49688105e+00 -4.19260004e+00
 1.50000000e+01 -4.99577363e+00 -4.62403872e+00
 1.60000000e+01 -4.99592536e+00 -4.62571815e+00
 1.70000000e+01 -3.72770343e+00 -3.55301840e+00
 1.80000000e+01 -3.79691007e+00 -3.62759148e+00
 1.90000000e+01 -3.84007103e+00 -3.67416012e+00
 2.00000000e+01 -3.86939035e+00 -3.70546439e+00
 2.10000000e+01 -3.87550349e+00 -3.71199105e+00
 2.20000000e+01 -3.87825496e+00 -3.71492860e+00
 2.30000000e+01 -3.89874900e+00 -3.73680789e+00
 2.40000000e+01 -3.91619933e+00 -3.75543667e+00
 2.50000000e+01 -3.92079383e+00 -3.76034129e+00
 2.60000000e+01 -3.92232555e+00 -3.76197637e+00
 2.70000000e+01 -3.89568906e+00 -3.73354111e+00
 2.80000000e+01 -3.92876014e+00 -3.76884490e+00
 2.90000000e+01 -3.94224788e+00 -3.78324219e+00
 3.00000000e+01 -3.95052855e+00 -3.79208099e+00
 3.10000000e+01 -3.95605074e+00 -3.79797525e+00
 3.20000000e+01 -3.95973298e+00 -3.80190553e+00
 3.30000000e+01 -3.76110810e+00 -3.58870697e+00
 3.40000000e+01 -3.77113945e+00 -3.59942353e+00
 3.50000000e+01 -3.78452173e+00 -3.61371944e+00
 3.60000000e+01 -3.78817286e+00 -3.61761975e+00
 3.70000000e+01 -3.78543446e+00 -3.61469446e+00
 3.80000000e+01 -3.80384924e+00 -3.63436550e+00
 3.90000000e+01 -3.81770857e+00 -3.64916965e+00
 4.00000000e+01 -2.35230651e+00 -2.24221633e+00
 4.10000000e+01 -2.37752506e+00 -2.26859992e+00
 4.20000000e+01 -2.39555611e+00 -2.28746329e+00
 4.30000000e+01 -2.41209763e+00 -2.30476787e+00
 4.40000000e+01 -2.41931966e+00 -2.31232290e+00
 4.50000000e+01 -2.42654407e+00 -2.31988032e+00
 4.60000000e+01 -2.43075941e+00 -2.32428993e+00
 4.70000000e+01 -2.52013500e+00 -2.39892731e+00
 4.80000000e+01 -2.62283489e+00 -2.49380306e+00
 4.90000000e+01 -2.72385777e+00 -2.58695894e+00
 5.00000000e+01 -2.80095895e+00 -2.65758969e+00
 5.10000000e+01 -2.89417670e+00 -2.74257774e+00
 5.20000000e+01 -2.90224650e+00 -2.75136335e+00
 5.30000000e+01 -2.90784460e+00 -2.75729798e+00
 5.40000000e+01 -2.91230712e+00 -2.76204070e+00
 5.50000000e+01 -2.91379483e+00 -2.76362181e+00
