bus real appr
 1.00000000e+00 -4.06078853e-01 -4.05544653e-01
 2.00000000e+00 -7.01642545e-01 -7.00315949e-01
 3.00000000e+00 -9.00013040e-01 -8.97958919e-01
 4.00000000e+00 -1.19006996e+00 -1.18667771e+00
 5.00000000e+00 -1.43504292e+00 -1.43000285e+00
 6.00000000e+00 -1.55610325e+00 -1.55014966e+00
 7.00000000e+00 -1.63052663e+00 -1.62397995e+00
 8.00000000e+00 -1.63408619e+00 -1.62750458e+00
 9.00000000e+00 -1.63586619e+00 -1.62926710e+00
 1.00000000e+01 -1.83583582e+00 -1.82752526e+00
 1.10000000e+01 -2.27301121e+00 -2.26030010e+00
 1.20000000e+01 -2.26697660e+00 -2.25775549e+00
 1.30000000e+01 -2.26286052e+00 -2.25585140e+00
 1.40000000e+01 -2.25484448e+00 -2.25179641e+00
 1.50000000e+01 -2.24485501e+00 -2.24561536e+00
 1.60000000e+01 -2.24502749e+00 -2.24656382e+00
 1.70000000e+01 -2.42559792e+00 -2.43245838e+00
 1.80000000e+01 -2.49751310e+00 -2.51380819e+00
 1.90000000e+01 -2.54236834e+00 -2.56460572e+00
 2.00000000e+01 -2.57284074e+00 -2.59886157e+00
 2.10000000e+01 -2.57919450e+00 -2.60600436e+00
 2.20000000e+01 -2.58205429e+00 -2.60921930e+00
 2.30000000e+01 -2.60335562e+00 -2.63316628e+00
 2.40000000e+01 -2.62149397e+00 -2.65355785e+00
 2.50000000e+01 -2.62626971e+00 -2.65892692e+00
 2.60000000e+01 -2.62786186e+00 -2.66071688e+00
 2.70000000e+01 -2.60017511e+00 -2.62959059e+00
 2.80000000e+01 -2.63455038e+00 -2.66823615e+00
 2.90000000e+01 -2.64857061e+00 -2.68399841e+00
 3.00000000e+01 -2.65717838e+00 -2.69367581e+00
 3.10000000e+01 -2.66291877e+00 -2.70012957e+00
 3.20000000e+01 -2.66674653e+00 -2.70443303e+00
 3.30000000e+01 -2.46030856e+00 -2.47148522e+00
 3.40000000e+01 -2.47073250e+00 -2.48320569e+00
 3.50000000e+01 -2.48463881e+00 -2.49884191e+00
 3.60000000e+01 -2.48843297e+00 -2.50310811e+00
 3.70000000e+01 -2.48558729e+00 -2.49990839e+00
 3.80000000e+01 -2.50472373e+00 -2.52142582e+00
 3.90000000e+01 -2.51912662e+00 -2.53762107e+00
 4.00000000e+01 -1.46756733e+00 -1.46313269e+00
 4.10000000e+01 -1.49455535e+00 -1.48988029e+00
 4.20000000e+01 -1.51385290e+00 -1.50900467e+00
 4.30000000e+01 -1.53155727e+00 -1.52654926e+00
 4.40000000e+01 -1.53928731e+00 -1.53420925e+00
 4.50000000e+01 -1.54702007e+00 -1.54187177e+00
 4.60000000e+01 -1.55153210e+00 -1.54634274e+00
 4.70000000e+01 -1.55148126e+00 -1.54688213e+00
 4.80000000e+01 -1.59794025e+00 -1.59331112e+00
 4.90000000e+01 -1.64290364e+00 -1.63825269e+00
 5.00000000e+01 -1.67506069e+00 -1.67042775e+00
 5.10000000e+01 -1.71208806e+00 -1.70750740e+00
 5.20000000e+01 -1.72093027e+00 -1.71638603e+00
 5.30000000e+01 -1.72706436e+00 -1.72244146e+00
 5.40000000e+01 -1.73195430e+00 -1.72727622e+00
 5.50000000e+01 -1.73358452e+00 -1.72888802e+00
