bus real appr
 1.00000000e+00 -3.80008836e-01 -3.79561220e-01
 2.00000000e+00 -6.56246360e-01 -6.55144412e-01
 3.00000000e+00 -8.41480606e-01 -8.39780581e-01
 4.00000000e+00 -1.11209105e+00 -1.10929515e+00
 5.00000000e+00 -1.34041503e+00 -1.33626039e+00
 6.00000000e+00 -1.45317388e+00 -1.44826790e+00
 7.00000000e+00 -1.52246955e+00 -1.51707644e+00
 8.00000000e+00 -1.52578364e+00 -1.52036151e+00
 9.00000000e+00 -1.52744087e+00 -1.52200423e+00
 1.00000000e+01 -1.71353737e+00 -1.70669806e+00
 1.10000000e+01 -2.11992259e+00 -2.10948696e+00
 1.20000000e+01 -2.11431752e+00 -2.10691793e+00
 1.30000000e+01 -2.11049509e+00 -2.10501925e+00
 1.40000000e+01 -2.10305227e+00 -2.10102028e+00
 1.50000000e+01 -2.09377923e+00 -2.09505615e+00
 1.60000000e+01 -2.09393932e+00 -2.09589179e+00
 1.70000000e+01 -2.27126540e+00 -2.25938283e+00
 1.80000000e+01 -2.34259105e+00 -2.33015088e+00
 1.90000000e+01 -2.38707749e+00 -2.37432063e+00
 2.00000000e+01 -2.41729888e+00 -2.40411541e+00
 2.10000000e+01 -2.42360026e+00 -2.41032734e+00
 2.20000000e+01 -2.42643647e+00 -2.41312324e+00
 2.30000000e+01 -2.44756205e+00 -2.43394741e+00
 2.40000000e+01 -2.46555061e+00 -2.45167778e+00
 2.50000000e+01 -2.47028690e+00 -2.45634585e+00
 2.60000000e+01 -2.47186589e+00 -2.45790208e+00
 2.70000000e+01 -2.44440779e+00 -2.43083817e+00
 2.80000000e+01 -2.47849913e+00 -2.46443933e+00
 2.90000000e+01 -2.49240343e+00 -2.47814223e+00
 3.00000000e+01 -2.50093999e+00 -2.48655471e+00
 3.10000000e+01 -2.50663287e+00 -2.49216468e+00
 3.20000000e+01 -2.51042895e+00 -2.49590538e+00
 3.30000000e+01 -2.30569180e+00 -2.29335156e+00
 3.40000000e+01 -2.31603029e+00 -2.30355165e+00
 3.50000000e+01 -2.32982254e+00 -2.31715856e+00
 3.60000000e+01 -2.33358557e+00 -2.32087089e+00
 3.70000000e+01 -2.33076324e+00 -2.31808659e+00
 3.80000000e+01 -2.34974260e+00 -2.33680954e+00
 3.90000000e+01 -2.36402717e+00 -2.35090013e+00
 4.00000000e+01 -1.37072909e+00 -1.36711068e+00
 4.10000000e+01 -1.39586921e+00 -1.39205033e+00
 4.20000000e+01 -1.41384414e+00 -1.40988090e+00
 4.30000000e+01 -1.43033413e+00 -1.42623772e+00
 4.40000000e+01 -1.43753365e+00 -1.43337888e+00
 4.50000000e+01 -1.44473554e+00 -1.44052225e+00
 4.60000000e+01 -1.44893773e+00 -1.44469023e+00
 4.70000000e+01 -1.44888796e+00 -1.44515589e+00
 4.80000000e+01 -1.49214959e+00 -1.48840862e+00
 4.90000000e+01 -1.53401083e+00 -1.53026808e+00
 5.00000000e+01 -1.56394456e+00 -1.56023016e+00
 5.10000000e+01 -1.59840688e+00 -1.59475297e+00
 5.20000000e+01 -1.60663573e+00 -1.60301721e+00
 5.30000000e+01 -1.61234420e+00 -1.60865957e+00
 5.40000000e+01 -1.61689473e+00 -1.61316398e+00
 5.50000000e+01 -1.61841178e+00 -1.61466564e+00
